City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Kondinskoye,RU,2021-12-20 01:44:58,59.6481,67.41,10.4,94,100,13.8,light snow
1,Esperance,AU,2021-12-20 01:44:59,-33.8667,121.9,75.04,48,66,5.23,broken clouds
2,Swan Hill,AU,2021-12-20 01:45:00,-35.3378,143.5544,76.87,24,0,8.84,clear sky
3,Northam,GB,2021-12-20 01:45:00,51.0333,-4.2167,44.02,98,55,15.57,broken clouds
4,Vaini,TO,2021-12-20 01:45:01,-21.2,-175.2,87.96,79,40,10.36,scattered clouds
5,Tasiilaq,GL,2021-12-20 01:45:02,65.6145,-37.6368,30.36,64,94,9.44,overcast clouds
6,Isangel,VU,2021-12-20 01:45:02,-19.55,169.2667,87.91,79,75,9.22,broken clouds
7,Ribeira Grande,PT,2021-12-20 01:45:03,38.5167,-28.7,60.03,66,100,37.18,overcast clouds
8,Clyde River,CA,2021-12-20 01:45:03,70.4692,-68.5914,8.83,92,100,9.22,mist
9,Lebu,CL,2021-12-20 01:45:04,-37.6167,-73.65,56.89,94,25,16.28,scattered clouds
10,Hobart,AU,2021-12-20 01:44:49,-42.8794,147.3294,67.86,45,75,18.41,broken clouds
11,Cayenne,GF,2021-12-20 01:45:04,4.9333,-52.3333,81.09,84,0,1.99,clear sky
12,Silver City,US,2021-12-20 01:45:04,32.7701,-108.2803,39.69,53,1,3.0,clear sky
13,Lata,PT,2021-12-20 01:45:05,40.1629,-8.3327,59.07,65,100,9.4,overcast clouds
14,Lulea,SE,2021-12-20 01:45:05,65.5842,22.1547,19.47,93,90,4.61,light snow
15,Saint George,US,2021-12-20 01:41:01,37.1041,-113.5841,43.95,49,1,1.99,clear sky
16,Krasnoselkup,RU,2021-12-20 01:45:06,65.7,82.4667,-36.0,98,22,6.13,few clouds
17,Wang Saphung,TH,2021-12-20 01:45:06,17.301,101.7685,67.08,81,0,2.3,clear sky
18,Punta Arenas,CL,2021-12-20 01:42:09,-53.15,-70.9167,46.51,66,75,19.57,light rain
19,Barrow,US,2021-12-20 01:45:06,71.2906,-156.7887,6.82,78,90,36.82,snow
20,Port Augusta,AU,2021-12-20 01:45:07,-32.5,137.7667,78.71,35,0,12.68,clear sky
21,Bengkulu,ID,2021-12-20 01:45:07,-3.8004,102.2655,78.66,79,100,6.49,overcast clouds
22,Progreso,MX,2021-12-20 01:45:08,21.2833,-89.6667,76.1,79,100,11.05,overcast clouds
23,Sibolga,ID,2021-12-20 01:45:08,1.7427,98.7792,79.38,78,100,1.39,overcast clouds
24,Magadan,RU,2021-12-20 01:45:09,59.5667,150.8,-0.17,75,100,12.28,overcast clouds
25,Provideniya,RU,2021-12-20 01:45:09,64.3833,-173.3,32.36,100,90,20.13,light rain and snow
26,Tura,IN,2021-12-20 01:45:09,25.5198,90.2201,58.42,59,0,2.26,clear sky
27,Matranovak,HU,2021-12-20 01:45:10,48.0381,19.9826,38.23,88,6,6.53,clear sky
28,Butaritari,KI,2021-12-20 01:45:10,3.0707,172.7902,82.29,74,99,16.22,overcast clouds
29,Severo-Kurilsk,RU,2021-12-20 01:45:10,50.6789,156.125,28.24,80,87,16.46,light snow
30,Bredasdorp,ZA,2021-12-20 01:45:11,-34.5322,20.0403,66.27,82,100,12.66,overcast clouds
31,Busselton,AU,2021-12-20 01:45:11,-33.65,115.3333,75.99,35,0,2.37,clear sky
32,Tuktoyaktuk,CA,2021-12-20 01:45:11,69.4541,-133.0374,-14.8,70,90,18.41,light snow
33,Georgetown,MY,2021-12-20 01:42:09,5.4112,100.3354,80.53,78,20,3.0,few clouds
34,Kaitangata,NZ,2021-12-20 01:45:12,-46.2817,169.8464,72.91,44,100,10.2,overcast clouds
35,Bluff,NZ,2021-12-20 01:45:12,-46.6,168.3333,60.46,86,99,30.96,light rain
36,Hilo,US,2021-12-20 01:45:12,19.7297,-155.09,74.93,40,90,3.44,moderate rain
37,Bradford,GB,2021-12-20 01:45:13,53.7939,-1.7521,42.04,81,100,5.35,overcast clouds
38,Ayr,GB,2021-12-20 01:45:13,55.4627,-4.6339,43.11,92,17,7.58,few clouds
39,Hasaki,JP,2021-12-20 01:45:13,35.7333,140.8333,46.8,46,0,9.37,clear sky
40,Pacific Grove,US,2021-12-20 01:45:12,36.6177,-121.9166,53.28,79,10,1.99,clear sky
41,Guanhaes,BR,2021-12-20 01:45:14,-18.775,-42.9325,65.43,98,100,4.65,overcast clouds
42,Solnechnyy,RU,2021-12-20 01:45:14,50.7214,136.6319,-1.88,80,85,3.78,overcast clouds
43,Husavik,IS,2021-12-20 01:45:15,66.0449,-17.3389,42.71,86,100,8.23,overcast clouds
44,Lincoln,US,2021-12-20 01:45:15,40.8,-96.667,35.35,51,0,3.0,clear sky
45,Khatanga,RU,2021-12-20 01:45:15,71.9667,102.5,-11.76,97,100,11.86,overcast clouds
46,Rikitea,PF,2021-12-20 01:45:16,-23.1203,-134.9692,74.84,83,100,14.88,light rain
47,Gawler,AU,2021-12-20 01:45:16,-34.6,138.7333,74.61,52,6,10.56,clear sky
48,Ouallam,NE,2021-12-20 01:45:16,14.3188,2.0866,64.09,17,1,10.98,clear sky
49,Taltal,CL,2021-12-20 01:45:17,-25.4,-70.4833,64.71,83,100,1.43,overcast clouds
50,Nikolskoye,RU,2021-12-20 01:45:17,59.7035,30.7861,21.09,91,100,11.56,light snow
51,Buraydah,SA,2021-12-20 01:45:17,26.326,43.975,59.45,56,100,3.89,overcast clouds
52,Port Elizabeth,ZA,2021-12-20 01:45:18,-33.918,25.5701,66.09,88,0,9.22,clear sky
53,Albany,US,2021-12-20 01:44:34,42.6001,-73.9662,25.27,74,12,14.0,few clouds
54,Mataura,NZ,2021-12-20 01:45:18,-46.1927,168.8643,69.85,57,99,12.17,overcast clouds
55,Arraial Do Cabo,BR,2021-12-20 01:45:19,-22.9661,-42.0278,72.7,79,55,10.76,broken clouds
56,Halvad,IN,2021-12-20 01:45:19,23.0167,71.1833,57.47,30,3,8.14,clear sky
57,Dakar,SN,2021-12-20 01:45:19,14.6937,-17.4441,79.68,69,100,13.8,overcast clouds
58,Jacqueville,CI,2021-12-20 01:45:20,5.2052,-4.4146,82.31,81,33,8.34,light rain
59,Boquira,BR,2021-12-20 01:45:20,-12.8231,-42.7306,69.1,93,100,2.21,overcast clouds
60,Cape Town,ZA,2021-12-20 01:45:15,-33.9258,18.4232,71.11,71,0,1.01,clear sky
61,Mildura,AU,2021-12-20 01:45:20,-34.2,142.15,73.08,26,3,9.22,clear sky
62,Pyay,MM,2021-12-20 01:45:21,18.8167,95.2167,71.98,72,0,3.85,clear sky
63,Thompson,CA,2021-12-20 01:45:21,55.7435,-97.8558,-7.44,77,75,6.91,light snow
64,Faanui,PF,2021-12-20 01:45:22,-16.4833,-151.75,79.99,76,28,9.15,scattered clouds
65,Hermanus,ZA,2021-12-20 01:45:22,-34.4187,19.2345,67.89,83,100,16.13,overcast clouds
66,Ponta Do Sol,PT,2021-12-20 01:40:28,32.6667,-17.1,69.01,93,100,21.45,overcast clouds
67,Moose Factory,CA,2021-12-20 01:45:23,51.2585,-80.6094,1.4,78,90,9.22,overcast clouds
68,Jamestown,US,2021-12-20 01:45:23,42.097,-79.2353,26.29,81,55,1.01,broken clouds
69,Luderitz,NA,2021-12-20 01:45:24,-26.6481,15.1594,58.96,83,3,3.44,clear sky
70,Rudnichnyy,RU,2021-12-20 01:45:25,59.617,52.4703,5.52,96,99,6.35,overcast clouds
71,Kodiak,US,2021-12-20 01:45:25,57.79,-152.4072,32.59,81,25,4.74,scattered clouds
72,Guerrero Negro,MX,2021-12-20 01:45:25,27.9769,-114.0611,59.49,53,0,9.37,clear sky
73,Avarua,CK,2021-12-20 01:45:26,-21.2078,-159.775,80.65,69,75,8.05,broken clouds
74,Yarada,IN,2021-12-20 01:45:26,17.65,83.2667,64.72,100,20,2.3,mist
75,Puerto Ayora,EC,2021-12-20 01:45:26,-0.7393,-90.3518,69.93,91,100,7.02,overcast clouds
76,Bucerias,MX,2021-12-20 01:45:27,20.75,-105.3333,71.24,82,10,3.96,clear sky
77,Lagoa,PT,2021-12-20 01:44:18,39.05,-27.9833,57.02,84,100,34.49,overcast clouds
78,Lumeje,AO,2021-12-20 01:45:27,-11.55,20.7833,65.34,97,100,3.69,moderate rain
79,Mount Isa,AU,2021-12-20 01:45:28,-20.7333,139.5,91.17,38,0,5.75,clear sky
80,Tiksi,RU,2021-12-20 01:45:28,71.6872,128.8694,-14.48,100,100,4.43,overcast clouds
81,Ketchikan,US,2021-12-20 01:45:28,55.3422,-131.6461,27.07,80,1,8.05,clear sky
82,Kysyl-Syr,RU,2021-12-20 01:45:29,63.8986,122.7617,-28.86,97,100,5.88,overcast clouds
83,Hualmay,PE,2021-12-20 01:45:29,-11.0964,-77.6139,67.41,84,0,7.11,clear sky
84,Carnarvon,AU,2021-12-20 01:45:06,-24.8667,113.6333,82.47,51,0,14.97,clear sky
85,Saint-Philippe,RE,2021-12-20 01:45:29,-21.3585,55.7679,77.49,85,30,7.85,light rain
86,Yatou,CN,2021-12-20 01:45:30,37.15,122.3833,44.69,53,55,8.81,broken clouds
87,Talnakh,RU,2021-12-20 01:41:40,69.4865,88.3972,-33.61,95,74,2.75,broken clouds
88,Ushuaia,AR,2021-12-20 01:45:30,-54.8,-68.3,40.66,70,40,17.27,scattered clouds
89,Havoysund,NO,2021-12-20 01:45:31,70.9963,24.6622,22.08,60,100,10.2,overcast clouds
90,Tarboro,US,2021-12-20 01:45:31,35.8968,-77.5358,41.38,93,90,5.75,overcast clouds
91,Kapaa,US,2021-12-20 01:41:57,22.0752,-159.319,80.58,75,40,5.01,light rain
92,Vitry-Le-Francois,FR,2021-12-20 01:45:32,48.7333,4.5833,40.91,95,62,7.49,broken clouds
93,Port Alfred,ZA,2021-12-20 01:45:43,-33.5906,26.891,66.06,91,68,10.18,broken clouds
94,Parker,US,2021-12-20 01:45:43,32.7668,-97.8003,45.72,44,99,3.38,overcast clouds
95,Chuy,UY,2021-12-20 01:45:44,-33.6971,-53.4616,66.45,86,0,10.51,clear sky
96,Saldanha,ZA,2021-12-20 01:45:24,-33.0117,17.9442,60.85,81,91,7.2,overcast clouds
97,Kardailovo,RU,2021-12-20 01:45:45,51.5386,53.9042,25.68,88,73,16.53,broken clouds
98,Yellowknife,CA,2021-12-20 01:40:47,62.456,-114.3525,-18.58,94,40,6.91,light snow
99,Sorland,NO,2021-12-20 01:45:45,67.667,12.6934,39.85,55,96,18.05,overcast clouds
100,Vila Velha,BR,2021-12-20 01:45:46,-20.3297,-40.2925,71.55,92,90,4.0,mist
101,Shinyanga,TZ,2021-12-20 01:45:46,-3.6667,33.4333,68.13,88,95,2.51,light rain
102,Kenora,CA,2021-12-20 01:45:22,49.8167,-94.4337,24.78,86,90,12.66,light shower snow
103,Socorro,US,2021-12-20 01:45:47,31.6546,-106.3033,51.01,41,1,0.0,clear sky
104,Santa Marta,CO,2021-12-20 01:45:47,11.2408,-74.199,84.25,58,75,9.22,broken clouds
105,Gayny,RU,2021-12-20 01:45:47,60.3071,54.3241,2.34,98,98,5.1,overcast clouds
106,Nanortalik,GL,2021-12-20 01:45:48,60.1432,-45.2371,39.13,72,100,26.49,overcast clouds
107,Vallenar,CL,2021-12-20 01:42:57,-28.5708,-70.7581,67.35,65,100,4.36,overcast clouds
108,Luwuk,ID,2021-12-20 01:45:48,-0.9516,122.7875,87.26,66,98,1.41,overcast clouds
109,Kavaratti,IN,2021-12-20 01:41:44,10.5669,72.642,80.91,72,4,7.7,clear sky
110,Namibe,AO,2021-12-20 01:41:41,-15.1961,12.1522,69.03,70,41,7.81,scattered clouds
111,Alofi,NU,2021-12-20 01:45:49,-19.0595,-169.9187,84.09,61,45,18.41,scattered clouds
112,Sovetskiy,RU,2021-12-20 01:45:50,61.3614,63.5842,2.37,96,100,8.46,light snow
113,Goderich,CA,2021-12-20 01:43:07,43.7501,-81.7165,26.91,74,88,6.91,overcast clouds
114,Bethel,US,2021-12-20 01:40:51,41.3712,-73.414,30.18,68,1,1.01,clear sky
115,Saskylakh,RU,2021-12-20 01:45:50,71.9167,114.0833,-8.55,98,100,10.02,overcast clouds
116,Shwebo,MM,2021-12-20 01:45:51,22.5667,95.7,66.94,71,2,5.35,clear sky
117,Berdigestyakh,RU,2021-12-20 01:45:51,62.0989,126.6992,-30.15,96,100,6.13,overcast clouds
118,Denpasar,ID,2021-12-20 01:45:51,-8.65,115.2167,83.86,79,20,2.3,few clouds
119,Norman Wells,CA,2021-12-20 01:45:52,65.282,-126.8329,1.44,78,90,4.61,light snow
120,Mwinilunga,ZM,2021-12-20 01:45:52,-11.7358,24.4293,61.83,97,100,2.48,overcast clouds
121,Dolinsk,RU,2021-12-20 01:45:52,47.35,142.8,12.06,70,99,4.5,overcast clouds
122,College,US,2021-12-20 01:45:53,64.8569,-147.8028,20.86,89,90,4.61,snow
123,Beyneu,KZ,2021-12-20 01:45:53,45.3167,55.2,31.77,91,38,1.28,scattered clouds
124,Lasa,IT,2021-12-20 01:45:53,46.6166,10.7002,38.28,54,7,7.0,clear sky
125,Ancud,CL,2021-12-20 01:45:54,-41.8697,-73.8203,62.13,93,17,2.21,few clouds
126,San Quintin,MX,2021-12-20 01:45:54,30.4833,-115.95,56.95,62,0,3.69,clear sky
127,Dikson,RU,2021-12-20 01:45:55,73.5069,80.5464,-29.7,99,88,3.44,overcast clouds
128,Nome,US,2021-12-20 01:45:55,64.5011,-165.4064,34.16,93,90,21.85,light snow
129,Gazanjyk,TM,2021-12-20 01:42:52,39.2446,55.5154,49.08,54,0,4.05,clear sky
130,Aklavik,CA,2021-12-20 01:45:55,68.2191,-135.0107,-1.37,100,99,7.52,overcast clouds
131,Klaksvik,FO,2021-12-20 01:45:56,62.2266,-6.589,40.12,82,100,11.18,overcast clouds
132,Saint Augustine,US,2021-12-20 01:45:52,29.8947,-81.3145,72.01,97,90,8.05,overcast clouds
133,East London,ZA,2021-12-20 01:45:57,-33.0153,27.9116,66.76,85,39,12.41,scattered clouds
134,Port Moresby,PG,2021-12-20 01:45:57,-9.4431,147.1797,87.22,74,40,11.5,scattered clouds
135,Otukpo,NG,2021-12-20 01:45:57,7.1913,8.1329,72.55,32,0,3.09,clear sky
136,Pochutla,MX,2021-12-20 01:44:13,15.7432,-96.4661,80.42,84,100,3.85,overcast clouds
137,Mount Gambier,AU,2021-12-20 01:45:58,-37.8333,140.7667,69.71,52,40,24.16,scattered clouds
138,Sao Jose Da Coroa Grande,BR,2021-12-20 01:45:58,-8.8978,-35.1478,79.03,79,85,9.1,overcast clouds
139,Westport,US,2021-12-20 01:45:59,41.1415,-73.3579,32.81,67,1,3.0,clear sky
140,Ilulissat,GL,2021-12-20 01:45:59,69.2167,-51.1,39.22,45,100,25.32,overcast clouds
141,Cherskiy,RU,2021-12-20 01:45:59,68.75,161.3,-23.53,97,100,21.47,light snow
142,Koslan,RU,2021-12-20 01:46:00,63.4564,48.8989,2.16,94,100,7.87,overcast clouds
143,Mahebourg,MU,2021-12-20 01:46:00,-20.4081,57.7,76.24,83,20,5.75,few clouds
144,Windhoek,NA,2021-12-20 01:41:59,-22.5594,17.0832,66.4,34,55,4.61,broken clouds
145,Vila Franca Do Campo,PT,2021-12-20 01:46:01,37.7167,-25.4333,59.41,85,99,10.74,overcast clouds
146,Seoul,KR,2021-12-20 01:43:02,37.5683,126.9778,49.44,75,0,3.44,clear sky
147,Maralal,KE,2021-12-20 01:46:01,1.0968,36.698,58.05,86,98,4.32,overcast clouds
148,Hithadhoo,MV,2021-12-20 01:46:02,-0.6,73.0833,82.53,74,100,7.83,overcast clouds
149,Shihezi,CN,2021-12-20 01:46:02,44.3,86.0333,14.85,85,95,1.59,overcast clouds
150,Saint-Pierre,RE,2021-12-20 01:46:03,-21.3393,55.4781,77.58,80,90,6.91,light rain
151,Kavieng,PG,2021-12-20 01:46:03,-2.5744,150.7967,82.71,75,98,2.48,moderate rain
152,Clarence Town,AU,2021-12-20 01:46:03,-32.5833,151.7833,92.28,36,84,3.8,broken clouds
153,Triolet,MU,2021-12-20 01:46:04,-20.0547,57.5453,76.26,82,74,5.17,broken clouds
154,Alice Springs,AU,2021-12-20 01:42:42,-23.7,133.8833,85.55,23,0,14.97,clear sky
155,Mayo,US,2021-12-20 01:46:04,38.8876,-76.5119,39.54,60,1,5.01,clear sky
156,Lusaka,ZM,2021-12-20 01:46:05,-15.4067,28.2871,63.54,96,100,8.25,overcast clouds
157,Mapimi,MX,2021-12-20 01:46:05,25.8167,-103.85,52.57,69,13,5.73,few clouds
158,Sola,VU,2021-12-20 01:46:05,-13.8833,167.55,82.0,73,85,6.13,overcast clouds
159,Chandler,US,2021-12-20 01:41:49,33.3062,-111.8412,63.18,37,1,0.0,clear sky
160,Landerneau,FR,2021-12-20 01:46:06,48.4525,-4.2525,45.36,96,75,8.05,broken clouds
161,Castro,BR,2021-12-20 01:46:06,-24.7911,-50.0119,56.14,87,0,7.72,clear sky
162,Chulman,RU,2021-12-20 01:46:07,56.8479,124.9104,-28.3,97,100,7.34,overcast clouds
163,Iqaluit,CA,2021-12-20 01:42:09,63.7506,-68.5145,-2.31,70,75,8.99,broken clouds
164,Tawau,MY,2021-12-20 01:46:07,4.2498,117.8871,84.33,74,100,5.99,overcast clouds
165,Constitucion,CL,2021-12-20 01:42:36,-35.3333,-72.4167,57.72,82,50,12.08,scattered clouds
166,Sitka,US,2021-12-20 01:46:07,57.0531,-135.33,30.09,69,1,5.75,clear sky
167,Lebanon,US,2021-12-20 01:45:09,36.2081,-86.2911,38.59,82,75,4.61,broken clouds
168,Buarcos,PT,2021-12-20 01:46:08,40.166,-8.8768,60.82,66,100,19.15,overcast clouds
169,Amapa,BR,2021-12-20 01:46:08,1.0,-52.0,73.27,94,100,2.64,overcast clouds
170,Promyshlennaya,RU,2021-12-20 01:46:09,54.9159,85.6385,14.95,96,100,5.55,light snow
171,Kamaishi,JP,2021-12-20 01:46:09,39.2667,141.8833,29.35,51,31,12.8,scattered clouds
