City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Amberley,US,2021-12-06 21:39:03,39.2048,-84.428,38.55,57,1,7.0
1,Comodoro Rivadavia,AR,2021-12-06 21:39:03,-45.8667,-67.5,78.66,22,0,19.57
2,Lorengau,PG,2021-12-06 21:39:03,-2.0226,147.2712,83.88,81,96,14.32
3,Sao Joao Da Barra,BR,2021-12-06 21:39:04,-21.6403,-41.0511,77.09,88,100,6.55
4,Jamestown,US,2021-12-06 21:36:52,42.097,-79.2353,37.09,50,90,17.0
5,Aswan,EG,2021-12-06 21:39:04,24.0934,32.907,65.5,48,0,5.75
6,Cidreira,BR,2021-12-06 21:35:18,-30.1811,-50.2056,68.72,81,22,15.64
7,Saint George,US,2021-12-06 21:37:44,37.1041,-113.5841,70.27,25,1,1.01
8,Ancud,CL,2021-12-06 21:39:05,-41.8697,-73.8203,68.86,55,0,1.14
9,Chokurdakh,RU,2021-12-06 21:38:48,70.6333,147.9167,-23.46,97,100,2.17
10,Agadir,MA,2021-12-06 21:39:05,30.4202,-9.5982,52.25,55,7,4.25
11,Bredasdorp,ZA,2021-12-06 21:38:57,-34.5322,20.0403,56.52,82,11,2.3
12,Faanui,PF,2021-12-06 21:37:40,-16.4833,-151.75,80.58,78,96,15.61
13,Mar Del Plata,AR,2021-12-06 21:35:57,-38.0023,-57.5575,65.88,79,0,18.01
14,Natchez,US,2021-12-06 21:34:22,31.5604,-91.4032,58.24,94,90,12.66
15,Hilo,US,2021-12-06 21:39:06,19.7297,-155.09,79.29,88,90,9.22
16,Airai,TL,2021-12-06 21:39:06,-8.9266,125.4092,62.2,90,86,2.28
17,Berlevag,NO,2021-12-06 21:39:06,70.8578,29.0864,26.6,80,75,14.97
18,Lagoa,PT,2021-12-06 21:38:49,39.05,-27.9833,63.54,79,100,20.85
19,Saint-Augustin,CA,2021-12-06 21:39:07,51.226,-58.6502,23.41,54,100,6.64
20,Qaanaaq,GL,2021-12-06 21:38:47,77.484,-69.3632,19.8,83,100,7.43
21,Cabo San Lucas,MX,2021-12-06 21:37:20,22.8909,-109.9124,83.52,57,1,8.05
22,Suzzara,IT,2021-12-06 21:39:07,44.9919,10.7431,37.11,93,0,6.82
23,Samarai,PG,2021-12-06 21:39:07,-10.6167,150.6667,82.74,74,100,7.61
24,Hambantota,LK,2021-12-06 21:39:08,6.1241,81.1185,75.54,100,40,2.3
25,Jerome,US,2021-12-06 21:39:08,42.7241,-114.5186,44.15,58,90,8.05
26,Emmett,US,2021-12-06 21:39:08,43.8735,-116.4993,40.64,90,100,3.0
27,Soe,ID,2021-12-06 21:39:09,-9.8607,124.284,69.04,93,100,1.01
28,Upernavik,GL,2021-12-06 21:39:09,72.7868,-56.1549,18.01,93,100,6.22
29,Roald,NO,2021-12-06 21:39:09,62.5833,6.1333,37.09,59,0,19.57
30,Butaritari,KI,2021-12-06 21:38:54,3.0707,172.7902,83.05,77,97,14.32
31,Victoria,HK,2021-12-06 21:37:41,22.2855,114.1577,66.25,66,6,1.01
32,Hithadhoo,MV,2021-12-06 21:39:10,-0.6,73.0833,81.7,77,42,17.98
33,Hoopstad,ZA,2021-12-06 21:39:10,-27.8327,25.9083,66.87,34,0,4.72
34,Paamiut,GL,2021-12-06 21:39:10,61.994,-49.6678,22.3,67,100,14.09
35,Hobart,AU,2021-12-06 21:37:42,-42.8794,147.3294,57.06,88,75,1.99
36,Hagere Selam,ET,2021-12-06 21:39:11,6.4833,38.5167,45.41,66,49,4.43
37,Vaini,TO,2021-12-06 21:39:11,-21.2,-175.2,80.76,83,40,10.36
38,Hualmay,PE,2021-12-06 21:39:13,-11.0964,-77.6139,69.08,80,64,9.62
39,New Norfolk,AU,2021-12-06 21:37:40,-42.7826,147.0587,56.7,73,100,2.95
40,Nanortalik,GL,2021-12-06 21:39:13,60.1432,-45.2371,24.46,70,58,42.21
41,East London,ZA,2021-12-06 21:37:37,-33.0153,27.9116,65.7,85,66,9.13
42,Ushuaia,AR,2021-12-06 21:33:23,-54.8,-68.3,58.66,41,20,24.16
43,Tasiilaq,GL,2021-12-06 21:39:13,65.6145,-37.6368,30.36,78,98,8.88
44,Trinidad,BO,2021-12-06 21:39:14,-14.8333,-64.9,87.78,66,75,8.05
45,At-Bashi,KG,2021-12-06 21:39:14,41.1702,75.8106,13.55,61,78,2.17
46,Georgetown,MY,2021-12-06 21:39:14,5.4112,100.3354,78.89,81,20,1.99
47,Raymond,US,2021-12-06 21:39:15,43.9015,-70.4703,55.22,88,100,15.43
48,Chuy,UY,2021-12-06 21:38:49,-33.6971,-53.4616,66.78,77,5,8.79
49,Choix,MX,2021-12-06 21:40:15,26.7092,-108.3219,82.15,24,0,5.39
50,Mataura,NZ,2021-12-06 21:40:15,-46.1927,168.8643,61.48,49,4,3.44
51,Laguna,US,2021-12-06 21:40:16,38.421,-121.4238,57.24,90,90,1.01
52,Lavrentiya,RU,2021-12-06 21:40:16,65.5833,-171.0,-3.12,93,100,9.17
53,Tuktoyaktuk,CA,2021-12-06 21:40:16,69.4541,-133.0374,8.6,78,75,13.8
54,Nadym,RU,2021-12-06 21:40:17,65.5333,72.5167,-0.2,91,96,14.63
55,Bhimavaram,IN,2021-12-06 21:40:17,16.5333,81.5333,75.0,88,2,3.8
56,Dongsheng,CN,2021-12-06 21:40:17,39.8161,109.9776,24.96,37,76,5.57
57,Tocopilla,CL,2021-12-06 21:40:17,-22.092,-70.1979,69.3,70,97,11.99
58,Chenghai,CN,2021-12-06 21:40:18,23.4632,116.768,53.51,87,0,0.0
59,Kurchum,KZ,2021-12-06 21:40:18,48.5722,83.6542,23.02,92,100,2.91
60,Belaya Gora,RU,2021-12-06 21:40:18,68.5333,146.4167,-23.46,99,100,0.76
61,Norman Wells,CA,2021-12-06 21:40:19,65.282,-126.8329,-9.36,70,40,5.75
62,Fort Nelson,CA,2021-12-06 21:35:29,58.8053,-122.7002,-13.41,77,40,3.44
63,San Cristobal,VE,2021-12-06 21:40:19,7.7669,-72.225,78.98,56,43,2.24
64,Severo-Kurilsk,RU,2021-12-06 21:40:19,50.6789,156.125,37.15,88,64,16.15
65,Abapo,BO,2021-12-06 21:40:20,-18.8333,-63.4667,71.58,69,58,4.36
66,Katsuura,JP,2021-12-06 21:40:20,35.1333,140.3,55.18,84,99,15.39
67,Kavieng,PG,2021-12-06 21:40:20,-2.5744,150.7967,82.33,81,100,11.48
68,Bluff,NZ,2021-12-06 21:38:48,-46.6,168.3333,61.81,54,2,5.1
69,Srednekolymsk,RU,2021-12-06 21:40:21,67.45,153.6833,-32.94,96,98,1.92
70,Saskylakh,RU,2021-12-06 21:40:21,71.9167,114.0833,-17.46,97,97,6.85
71,Ilulissat,GL,2021-12-06 21:38:53,69.2167,-51.1,19.42,49,90,12.66
72,Punta Arenas,CL,2021-12-06 21:34:03,-53.15,-70.9167,51.12,85,100,15.75
73,Cartagena,CO,2021-12-06 21:36:45,10.3997,-75.5144,85.62,74,75,13.8
74,Castro,BR,2021-12-06 21:37:41,-24.7911,-50.0119,60.49,95,81,5.61
75,Leningradskiy,RU,2021-12-06 21:40:22,69.3833,178.4167,-6.47,87,100,27.49
76,Tuatapere,NZ,2021-12-06 21:40:22,-46.1333,167.6833,61.83,52,1,2.26
77,Qena,EG,2021-12-06 21:40:22,26.1615,32.7183,57.31,36,51,1.05
78,Hasaki,JP,2021-12-06 21:37:40,35.7333,140.8333,46.8,79,96,15.21
79,Verkhnevilyuysk,RU,2021-12-06 21:40:22,63.4453,120.3167,-26.46,100,96,2.84
80,Ponta Do Sol,PT,2021-12-06 21:40:23,32.6667,-17.1,65.03,71,63,8.21
81,Alugan,PH,2021-12-06 21:40:23,12.2188,125.4808,80.22,77,99,13.69
82,Sitka,US,2021-12-06 21:40:23,57.0531,-135.33,31.89,80,90,0.0
83,Ferme-Neuve,CA,2021-12-06 21:40:24,46.7001,-75.4493,38.98,96,100,9.82
84,Hartselle,US,2021-12-06 21:40:24,34.4434,-86.9353,53.06,61,100,13.91
85,Bambous Virieux,MU,2021-12-06 21:40:24,-20.3428,57.7575,79.05,73,40,10.36
